insider,vector,date,user,source,action
0,1,1262414975000,432,219,541
0,1,1262415035000,432,219,541
0,1,1262415217000,432,219,513
0,1,1262415226000,432,219,920
0,1,1262415273000,432,219,920
0,1,1262415277000,432,219,513
0,1,1262415286000,432,219,920
0,1,1262415333000,432,219,920
0,1,1262415533000,432,219,513
0,1,1262415557000,432,219,1342
0,1,1262415593000,432,219,513
0,1,1262415602000,575,5,374
0,1,1262415617000,432,219,1342
0,1,1262415621000,575,5,217
0,1,1262415627000,575,5,217
0,1,1262415633000,575,5,1298
0,1,1262415635000,575,5,840
0,1,1262415636000,575,5,819
0,1,1262415640000,575,5,1340
0,1,1262415673000,575,5,1097
0,1,1262415690000,293,784,212
0,1,1262415750000,293,784,212
0,1,1262416128000,575,5,339
0,1,1262416251000,575,5,350
0,1,1262416343000,432,219,1357
0,1,1262416403000,432,219,1357
0,1,1262416712000,432,219,745
0,1,1262416772000,432,219,745
0,1,1262416803000,293,784,435
0,1,1262416863000,293,784,435
0,1,1262417121000,605,240,46
0,1,1262417181000,605,240,46
0,1,1262417185000,293,784,197
0,1,1262417206000,293,784,525
0,1,1262417245000,293,784,197
0,1,1262417266000,293,784,525
0,1,1262417287000,575,5,1230
0,1,1262417372000,432,219,1087
0,1,1262417413000,293,784,566
0,1,1262417432000,432,219,1087
0,1,1262417452000,432,219,1113
0,1,1262417473000,293,784,566
0,1,1262417512000,432,219,1113
0,1,1262417596000,293,784,565
0,1,1262417656000,293,784,565
0,1,1262418012000,605,240,47
0,1,1262418069000,26,833,1295
0,1,1262418072000,605,240,47
0,1,1262418129000,26,833,1295
0,1,1262418301000,713,452,76
0,1,1262418303000,713,452,643
0,1,1262418361000,713,452,76
0,1,1262418363000,713,452,643
0,1,1262418432000,316,54,1322
0,1,1262418442000,713,452,1170
0,1,1262418452000,713,452,145
0,1,1262418459000,261,522,1024
0,1,1262418502000,713,452,1170
0,1,1262418512000,713,452,145
0,1,1262418519000,261,522,1024
0,1,1262418521000,674,594,800
0,1,1262418527000,229,492,1167
0,1,1262418540000,229,492,176
0,1,1262418584000,289,182,371
0,1,1262418587000,229,492,1167
0,1,1262418587000,339,232,1167
0,1,1262418600000,229,492,176
0,1,1262418620000,261,522,515
0,1,1262418630000,289,182,247
0,1,1262418640000,261,522,822
0,1,1262418671000,589,536,338
0,1,1262418680000,261,522,515
0,1,1262418700000,261,522,822
0,1,1262418731000,589,536,338
0,1,1262418836000,289,182,1186
0,1,1262418900000,245,691,515
0,1,1262418900000,734,143,1024
0,1,1262419069000,295,643,839
0,1,1262419129000,295,643,839
0,1,1262419173000,674,594,51
0,1,1262419214000,575,5,953
0,1,1262419222000,589,536,795
0,1,1262419260000,170,349,1186
0,1,1262419260000,170,349,371
0,1,1262419260000,453,105,839
0,1,1262419264000,734,143,331
0,1,1262419282000,589,536,795
0,1,1262419324000,734,143,331
0,1,1262419389000,589,536,266
0,1,1262419437000,340,341,439
0,1,1262419444000,340,341,439
0,1,1262419446000,340,341,439
0,1,1262419449000,589,536,266
0,1,1262419497000,340,341,439
0,1,1262419504000,340,341,439
0,1,1262419506000,340,341,439
0,1,1262419514000,292,552,991
0,1,1262419533000,340,341,1112
0,1,1262419541000,734,143,508
0,1,1262419574000,292,552,991
0,1,1262419583000,542,638,1213
0,1,1262419593000,340,341,1112
0,1,1262419601000,261,522,508
0,1,1262419601000,734,143,508
0,1,1262419643000,292,552,40
0,1,1262419643000,542,638,1213
0,1,1262419683000,292,552,240
0,1,1262419703000,292,552,40
0,1,1262419721000,10,53,629
0,1,1262419727000,321,362,604
0,1,1262419732000,292,552,1280
0,1,1262419738000,575,5,869
0,1,1262419743000,292,552,240
0,1,1262419775000,292,552,1326
0,1,1262419781000,10,53,629
0,1,1262419787000,321,362,604
0,1,1262419788000,292,552,92
0,1,1262419792000,292,552,1280
0,1,1262419835000,292,552,1326
0,1,1262419848000,292,552,92
0,1,1262419990000,484,259,612
0,1,1262420033000,292,552,970
0,1,1262420034000,321,362,865
0,1,1262420037000,484,259,154
0,1,1262420093000,292,552,970
0,1,1262420094000,321,362,865
0,1,1262420174000,340,341,1272
0,1,1262420186000,292,552,1121
0,1,1262420234000,340,341,1272
0,1,1262420245000,292,552,534
0,1,1262420246000,292,552,1121
0,1,1262420258000,10,53,650
0,1,1262420264000,292,552,687
0,1,1262420305000,230,645,534
0,1,1262420305000,292,552,534
0,1,1262420308000,340,341,1269
0,1,1262420318000,10,53,650
0,1,1262420323000,229,492,283
0,1,1262420323000,292,552,469
0,1,1262420324000,292,552,687
0,1,1262420346000,292,552,1121
0,1,1262420368000,340,341,1269
0,1,1262420383000,229,492,283
0,1,1262420383000,292,552,469
0,1,1262420406000,292,552,1121
0,1,1262420411000,589,536,1207
0,1,1262420411000,605,240,933
0,1,1262420447000,292,552,518
0,1,1262420471000,589,536,1207
0,1,1262420471000,605,240,933
0,1,1262420507000,292,552,518
0,1,1262420633000,10,53,70
0,1,1262420693000,10,53,70
0,1,1262420726000,340,341,439
0,1,1262420761000,340,341,158
0,1,1262420786000,340,341,439
0,1,1262420787000,340,341,44
0,1,1262420815000,229,492,449
0,1,1262420821000,340,341,158
0,1,1262420847000,340,341,44
0,1,1262420868000,656,340,1194
0,1,1262420875000,229,492,449
0,1,1262420895000,656,340,548
0,1,1262420928000,656,340,1194
0,1,1262420955000,656,340,548
0,1,1262421002000,10,53,1269
0,1,1262421038000,165,255,379
0,1,1262421062000,10,53,1269
0,1,1262421069000,165,255,237
0,1,1262421214000,165,255,1201
0,1,1262421229000,165,255,63
0,1,1262421262000,656,340,191
0,1,1262421268000,165,255,379
0,1,1262421322000,656,340,191
0,1,1262421373000,691,178,573
0,1,1262421373000,691,178,1174
0,1,1262421406000,94,89,794
0,1,1262421413000,691,178,1231
0,1,1262421433000,691,178,573
0,1,1262421433000,691,178,1174
0,1,1262421438000,165,255,63
0,1,1262421453000,691,178,156
0,1,1262421473000,691,178,1231
0,1,1262421513000,691,178,156
0,1,1262421633000,17,769,223
0,1,1262421681000,691,178,143
0,1,1262421693000,17,769,223
0,1,1262421698000,17,769,560
0,1,1262421738000,292,552,475
0,1,1262421741000,691,178,143
0,1,1262421758000,17,769,560
0,1,1262421798000,292,552,475
0,1,1262421815000,714,465,1060
0,1,1262421823000,542,638,134
0,1,1262421857000,17,769,715
0,1,1262421875000,714,465,1060
0,1,1262421883000,542,638,134
0,1,1262421883000,686,122,134
0,1,1262421896000,691,178,1233
0,1,1262421898000,691,178,451
0,1,1262421917000,17,769,715
0,1,1262421929000,713,452,988
0,1,1262421937000,17,769,1260
0,1,1262421955000,691,178,1100
0,1,1262421956000,691,178,1233
0,1,1262421958000,691,178,451
0,1,1262421989000,713,452,988
0,1,1262421992000,17,769,997
0,1,1262421997000,17,769,1260
0,1,1262422012000,17,769,616
